"station_id","is_renting","is_returning","num_docks_available","num_docks_disabled","num_bikes_available","num_bikes_disabled","num_ebikes_available","last_updated"
"101",1,1,24,0,6,1,0,2022-12-04 13:59:02
"102",1,1,22,0,1,0,0,2022-12-04 13:59:02
"103",1,1,10,0,29,0,0,2022-12-04 13:59:02
"104",1,1,15,0,10,0,0,2022-12-04 13:59:02
"105",1,1,6,0,19,0,1,2022-12-04 13:59:02
"101",1,1,24,0,6,1,0,2022-12-04 13:59:43
"102",1,1,22,0,1,0,0,2022-12-04 13:59:43
"103",1,1,10,0,29,0,0,2022-12-04 13:59:43
"104",1,1,15,0,10,0,0,2022-12-04 13:59:43
"105",1,1,6,0,19,0,1,2022-12-04 13:59:43
"101",1,1,23,0,7,1,0,2022-12-04 14:50:06
"102",1,1,19,0,4,0,0,2022-12-04 14:50:06
"103",1,1,9,0,30,0,0,2022-12-04 14:50:06
"104",1,1,16,0,9,0,0,2022-12-04 14:50:06
"105",1,1,6,0,19,0,0,2022-12-04 14:50:06
"101",1,1,23,0,7,1,0,2022-12-04 14:51:01
"102",1,1,19,0,4,0,0,2022-12-04 14:51:01
"103",1,1,9,0,30,0,0,2022-12-04 14:51:01
"104",1,1,16,0,9,0,0,2022-12-04 14:51:01
"105",1,1,6,0,19,0,0,2022-12-04 14:51:01
"101",1,1,23,0,7,1,0,2022-12-04 14:52:02
"102",1,1,20,0,3,0,0,2022-12-04 14:52:02
"103",1,1,9,0,30,0,0,2022-12-04 14:52:02
"104",1,1,16,0,9,0,0,2022-12-04 14:52:02
"105",1,1,6,0,19,0,0,2022-12-04 14:52:02
"101",1,1,23,0,7,1,0,2022-12-04 14:53:02
"102",1,1,20,0,3,0,0,2022-12-04 14:53:02
"103",1,1,9,0,30,0,0,2022-12-04 14:53:02
"104",1,1,16,0,9,0,0,2022-12-04 14:53:02
"105",1,1,6,0,19,0,0,2022-12-04 14:53:02
"101",1,1,23,0,7,1,0,2022-12-04 14:54:06
"102",1,1,20,0,3,0,0,2022-12-04 14:54:06
"103",1,1,9,0,30,0,0,2022-12-04 14:54:06
"104",1,1,16,0,9,0,0,2022-12-04 14:54:06
"105",1,1,6,0,19,0,0,2022-12-04 14:54:06
"101",1,1,23,0,7,1,0,2022-12-04 19:50:01
"102",1,1,20,0,3,0,1,2022-12-04 19:50:01
"103",1,1,24,0,15,0,0,2022-12-04 19:50:01
"104",1,1,9,0,16,0,0,2022-12-04 19:50:01
"105",1,1,2,0,22,0,0,2022-12-04 19:50:01
"101",1,1,23,0,7,1,0,2022-12-04 19:51:01
"102",1,1,20,0,3,0,1,2022-12-04 19:51:01
"103",1,1,24,0,15,0,0,2022-12-04 19:51:01
"104",1,1,9,0,16,0,0,2022-12-04 19:51:01
"105",1,1,2,0,22,0,0,2022-12-04 19:51:01
"101",1,1,23,0,7,1,0,2022-12-04 19:52:02
"102",1,1,20,0,3,0,1,2022-12-04 19:52:02
"103",1,1,24,0,15,0,0,2022-12-04 19:52:02
"104",1,1,9,0,16,0,0,2022-12-04 19:52:02
"105",1,1,2,0,22,0,0,2022-12-04 19:52:02
"101",1,1,23,0,7,1,0,2022-12-04 19:53:02
"102",1,1,20,0,3,0,1,2022-12-04 19:53:02
"103",1,1,24,0,15,0,0,2022-12-04 19:53:02
"104",1,1,9,0,16,0,0,2022-12-04 19:53:02
"105",1,1,2,0,22,0,0,2022-12-04 19:53:02
"101",1,1,23,0,7,1,0,2022-12-04 19:54:02
"102",1,1,20,0,3,0,1,2022-12-04 19:54:02
"103",1,1,24,0,15,0,0,2022-12-04 19:54:02
"104",1,1,9,0,16,0,0,2022-12-04 19:54:02
"105",1,1,2,0,22,0,0,2022-12-04 19:54:02
"101",1,1,21,0,9,1,0,2022-12-04 19:55:01
"102",1,1,20,0,3,0,1,2022-12-04 19:55:01
"103",1,1,24,0,15,0,0,2022-12-04 19:55:01
"104",1,1,9,0,16,0,0,2022-12-04 19:55:01
"105",1,1,2,0,22,0,0,2022-12-04 19:55:01
"101",1,1,21,0,9,1,0,2022-12-04 19:56:01
"102",1,1,20,0,3,0,1,2022-12-04 19:56:01
"103",1,1,24,0,15,0,0,2022-12-04 19:56:01
"104",1,1,9,0,16,0,0,2022-12-04 19:56:01
"105",1,1,2,0,22,0,0,2022-12-04 19:56:01
"101",1,1,21,0,9,1,0,2022-12-04 19:57:02
"102",1,1,20,0,3,0,1,2022-12-04 19:57:02
"103",1,1,24,0,15,0,0,2022-12-04 19:57:02
"104",1,1,9,0,16,0,0,2022-12-04 19:57:02
"105",1,1,2,0,22,0,0,2022-12-04 19:57:02
"101",1,1,21,0,9,1,0,2022-12-04 19:58:02
"102",1,1,20,0,3,0,1,2022-12-04 19:58:02
"103",1,1,24,0,15,0,0,2022-12-04 19:58:02
"104",1,1,9,0,16,0,0,2022-12-04 19:58:02
"105",1,1,2,0,22,0,0,2022-12-04 19:58:02
"101",1,1,21,0,9,1,0,2022-12-04 19:59:02
"102",1,1,20,0,3,0,1,2022-12-04 19:59:02
"103",1,1,24,0,15,0,0,2022-12-04 19:59:02
"104",1,1,9,0,16,0,0,2022-12-04 19:59:02
"105",1,1,2,0,22,0,0,2022-12-04 19:59:02
"101",1,1,21,0,9,1,0,2022-12-04 20:00:01
"102",1,1,20,0,3,0,1,2022-12-04 20:00:01
"103",1,1,24,0,15,0,0,2022-12-04 20:00:01
"104",1,1,9,0,16,0,0,2022-12-04 20:00:01
"105",1,1,2,0,22,0,0,2022-12-04 20:00:01
"101",1,1,21,0,9,1,0,2022-12-04 20:01:01
"102",1,1,17,0,6,0,1,2022-12-04 20:01:01
"103",1,1,24,0,15,0,0,2022-12-04 20:01:01
"104",1,1,9,0,16,0,0,2022-12-04 20:01:01
"105",1,1,2,0,22,0,0,2022-12-04 20:01:01
"101",1,1,21,0,9,1,0,2022-12-04 20:02:02
"102",1,1,17,0,6,0,1,2022-12-04 20:02:02
"103",1,1,24,0,15,0,0,2022-12-04 20:02:02
"104",1,1,9,0,16,0,0,2022-12-04 20:02:02
"105",1,1,2,0,22,0,0,2022-12-04 20:02:02
"101",1,1,21,0,9,1,0,2022-12-04 20:03:02
"102",1,1,17,0,6,0,1,2022-12-04 20:03:02
"103",1,1,24,0,15,0,0,2022-12-04 20:03:02
"104",1,1,9,0,16,0,0,2022-12-04 20:03:02
"105",1,1,2,0,22,0,0,2022-12-04 20:03:02
"101",1,1,21,0,9,1,0,2022-12-04 20:04:02
"102",1,1,17,0,6,0,1,2022-12-04 20:04:02
"103",1,1,24,0,15,0,0,2022-12-04 20:04:02
"104",1,1,9,0,16,0,0,2022-12-04 20:04:02
"105",1,1,2,0,22,0,0,2022-12-04 20:04:02
"101",1,1,21,0,9,1,0,2022-12-04 20:05:01
"102",1,1,17,0,6,0,1,2022-12-04 20:05:01
"103",1,1,24,0,15,0,0,2022-12-04 20:05:01
"104",1,1,9,0,16,0,0,2022-12-04 20:05:01
"105",1,1,2,0,22,0,0,2022-12-04 20:05:01
"101",1,1,21,0,9,1,0,2022-12-04 20:06:01
"102",1,1,17,0,6,0,1,2022-12-04 20:06:01
"103",1,1,24,0,15,0,0,2022-12-04 20:06:01
"104",1,1,9,0,16,0,0,2022-12-04 20:06:01
"105",1,1,2,0,22,0,0,2022-12-04 20:06:01
"101",1,1,21,0,9,1,0,2022-12-04 20:07:02
"102",1,1,17,0,6,0,1,2022-12-04 20:07:02
"103",1,1,24,0,15,0,0,2022-12-04 20:07:02
"104",1,1,9,0,16,0,0,2022-12-04 20:07:02
"105",1,1,2,0,22,0,0,2022-12-04 20:07:02
"101",1,1,21,0,9,1,0,2022-12-04 20:08:02
"102",1,1,17,0,6,0,1,2022-12-04 20:08:02
"103",1,1,24,0,15,0,0,2022-12-04 20:08:02
"104",1,1,9,0,16,0,0,2022-12-04 20:08:02
"105",1,1,2,0,22,0,0,2022-12-04 20:08:02
"101",1,1,21,0,9,1,0,2022-12-04 20:09:02
"102",1,1,17,0,6,0,1,2022-12-04 20:09:02
"103",1,1,24,0,15,0,0,2022-12-04 20:09:02
"104",1,1,9,0,16,0,0,2022-12-04 20:09:02
"105",1,1,2,0,22,0,0,2022-12-04 20:09:02
"101",1,1,21,0,9,1,0,2022-12-04 20:10:01
"102",1,1,17,0,6,0,1,2022-12-04 20:10:01
"103",1,1,24,0,15,0,0,2022-12-04 20:10:01
"104",1,1,9,0,16,0,0,2022-12-04 20:10:01
"105",1,1,2,0,22,0,0,2022-12-04 20:10:01
"101",1,1,21,0,9,1,0,2022-12-04 20:11:01
"102",1,1,18,0,5,0,1,2022-12-04 20:11:01
"103",1,1,24,0,15,0,0,2022-12-04 20:11:01
"104",1,1,9,0,16,0,0,2022-12-04 20:11:01
"105",1,1,2,0,22,0,0,2022-12-04 20:11:01
"101",1,1,21,0,9,1,0,2022-12-04 20:12:02
"102",1,1,18,0,5,0,1,2022-12-04 20:12:02
"103",1,1,24,0,15,0,0,2022-12-04 20:12:02
"104",1,1,9,0,16,0,0,2022-12-04 20:12:02
"105",1,1,2,0,22,0,0,2022-12-04 20:12:02
"101",1,1,21,0,9,1,0,2022-12-04 20:13:02
"102",1,1,18,0,5,0,1,2022-12-04 20:13:02
"103",1,1,24,0,15,0,0,2022-12-04 20:13:02
"104",1,1,9,0,16,0,0,2022-12-04 20:13:02
"105",1,1,2,0,22,0,0,2022-12-04 20:13:02
"101",1,1,21,0,9,1,0,2022-12-04 20:14:02
"102",1,1,18,0,5,0,1,2022-12-04 20:14:02
"103",1,1,24,0,15,0,0,2022-12-04 20:14:02
"104",1,1,9,0,16,0,0,2022-12-04 20:14:02
"105",1,1,2,0,22,0,0,2022-12-04 20:14:02
"101",1,1,21,0,9,1,0,2022-12-04 20:15:01
"102",1,1,18,0,5,0,1,2022-12-04 20:15:01
"103",1,1,24,0,15,0,0,2022-12-04 20:15:01
"104",1,1,9,0,16,0,0,2022-12-04 20:15:01
"105",1,1,2,0,22,0,0,2022-12-04 20:15:01
"101",1,1,21,0,9,1,0,2022-12-04 20:16:01
"102",1,1,17,0,6,0,1,2022-12-04 20:16:01
"103",1,1,24,0,15,0,0,2022-12-04 20:16:01
"104",1,1,9,0,16,0,0,2022-12-04 20:16:01
"105",1,1,2,0,22,0,0,2022-12-04 20:16:01
"101",1,1,21,0,9,1,0,2022-12-04 20:17:02
"102",1,1,17,0,6,0,1,2022-12-04 20:17:02
"103",1,1,24,0,15,0,0,2022-12-04 20:17:02
"104",1,1,9,0,16,0,0,2022-12-04 20:17:02
"105",1,1,2,0,22,0,0,2022-12-04 20:17:02
